lemma,count
the,10480
be,9205
and,8503
he,6358
I,6140
a,5796
to,5711
you,4563
it,4124
not,4002
of,3973
do,3431
in,3383
she,3353
have,2990
his,2967
say,2795
that,2366
they,1601
go,1525
her,1513
on,1477
for,1397
with,1390
Adam,1287
know,1243
but,1212
would,1151
get,1148
at,1146
what,1049
out,986
up,939
think,933
's,907
no,865
come,853
we,848
want,847
there,831
as,820
could,812
like,802
Lee,799
from,767
'll,746
can,738
when,733
all,711
see,706
tell,691
my,686
well,682
look,678
man,670
will,669
about,656
if,655
one,654
make,652
your,601
take,596
good,596
Cal,588
so,577
then,573
this,565
back,562
or,514
how,506
little,503
time,495
over,477
Samuel,475
down,475
eye,459
into,450
thing,442
now,434
why,432
Kate,417
hand,405
some,405
just,400
feel,399
an,396
ask,396
Aron,388
by,377
father,361
maybe,358
their,352
house,343
right,342
more,340
put,339
away,332
never,322
here,321
've,315
who,314
any,314
only,311
way,308
hear,304
face,303
let,302
very,297
too,293
find,290
give,288
boy,288
Charles,286
Tom,275
two,273
long,271
try,263
yes,263
sit,259
around,255
Joe,253
talk,253
where,253
before,251
something,248
room,247
turn,244
after,243
girl,240
than,238
work,235
head,234
door,233
other,233
even,228
off,225
mind,222
old,221
himself,221
mother,220
remember,219
seem,219
Mr.,219
place,219
might,217
open,215
mean,214
Abra,211
year,209
money,208
through,207
move,207
much,202
people,201
love,200
walk,199
guess,199
child,198
again,198
brother,198
because,197
Faye,196
day,194
night,194
stand,193
always,191
Cathy,189
bring,187
its,180
run,180
leave,179
keep,178
light,177
kind,176
ever,175
first,175
under,175
live,174
new,173
close,173
world,166
life,166
anything,165
hold,165
against,165
bad,161
while,161
Hamilton,160
which,160
bed,159
call,159
Salinas,158
great,157
water,157
must,154
home,154
wait,153
sure,153
grow,152
name,152
set,151
our,150
until,149
own,148
believe,146
use,146
big,145
still,144
stop,143
should,142
smile,142
woman,141
word,140
pretty,138
table,138
begin,138
oh,138
lie,135
wonder,134
enough,133
dark,131
Trask,131
kitchen,131
every,130
voice,129
change,122
Liza,122
help,121
letter,120
toward,120
last,120
hard,118
without,118
buy,117
chair,117
though,117
nothing,116
small,116
drink,115
laugh,115
black,114
three,114
drive,113
read,113
slowly,113
whole,112
front,112
happen,111
finger,110
mouth,110
many,109
write,108
arm,107
few,106
speak,105
need,105
white,104
wife,103
another,103
glass,102
start,102
stay,102
side,102
once,101
understand,101
these,101
lose,101
forget,101
Dessie,100
cry,99
answer,99
hurt,98
sometimes,98
learn,98
fine,98
alone,98
morning,98
fall,98
become,97
behind,97
son,97
God,96
watch,96
along,95
sleep,95
carry,95
matter,95
family,94
break,94
young,94
thought,93
school,92
town,91
kill,90
almost,90
listen,90
story,90
business,90
true,89
course,89
sound,89
whether,89
pain,88
trouble,88
lean,88
pick,87
cut,87
care,86
afraid,85
land,85
die,85
sheriff,84
high,84
raise,83
pay,83
horse,83
else,82
lip,82
tear,82
book,82
nice,82
same,81
such,81
catch,81
ranch,80
baby,80
hate,80
Ethel,80
half,78
draw,78
hell,78
friend,77
clean,77
each,77
step,77
question,77
those,77
far,76
foot,76
box,76
moment,76
valley,75
wish,75
beside,75
Horace,75
both,75
cover,75
deep,75
softly,75
dear,74
cold,74
secret,74
paper,74
everything,74
four,74
hair,74
shoulder,74
build,73
wear,73
Cyrus,73
quickly,73
fight,73
pull,73
five,73
clothe,72
most,72
cup,72
perhaps,71
rich,71
piece,71
Mrs.,70
red,70
farm,70
may,70
suddenly,69
wind,69
send,69
between,69
fear,68
full,68
tree,68
sweet,68
soon,68
near,68
lay,68
twin,67
ground,67
week,67
leg,67
shake,67
bottle,67
bear,66
dry,66
plan,66
idea,66
hundred,66
death,66
part,66
show,65
touch,65
glad,65
picture,64
end,64
force,64
lot,64
stick,64
drop,64
next,64
dead,64
Will,64
feeling,63
sick,63
edge,63
body,62
follow,62
warm,62
strange,62
war,62
throw,62
wall,62
San,62
thank,61
together,61
eat,61
dollar,61
herself,61
sir,61
rise,60
wrong,60
stare,60
road,60
really,60
quite,59
since,59
ten,59
slip,59
smell,58
top,58
nearly,58
afternoon,58
nose,57
line,57
poor,57
quick,57
hang,57
late,57
quietly,56
hope,56
human,56
desk,56
floor,56
dress,56
play,55
month,55
burn,55
strong,54
City,54
stone,54
skin,54
easy,54
army,54
everyone,54
stomach,54
window,54
truth,53
notice,53
Ames,53
memory,53
gray,53
2,53
Mother,53
country,53
1,52
Father,52
rest,52
train,52
second,52
dream,52
bit,52
cheek,52
reason,52
either,51
King,51
myself,51
fool,51
silent,51
also,51
clear,51
heart,51
street,50
smart,50
study,50
yourself,50
us,50
figure,50
fill,50
pour,49
thousand,49
hill,49
past,49
point,49
air,49
wide,49
rain,49
order,49
ride,48
later,48
yellow,48
shine,48
across,48
fire,48
outside,48
straight,48
crazy,48
Edwards,47
pleasure,47
county,47
marry,47
save,47
anyone,47
office,46
green,46
coffee,46
heavy,46
earth,46
evening,46
blood,46
goddam,45
whisky,45
minute,45
sharp,45
Alice,45
forehead,45
wash,44
dig,44
job,44
ready,44
sell,44
beat,44
gold,44
throat,44
sun,44
doctor,44
six,44
push,44
settle,44
tie,44
Street,43
nobody,43
corner,43
miss,43
mad,43
pass,43
inspect,43
soldier,43
early,43
tooth,42
knock,42
cook,42
yet,42
iron,42
pocket,42
hide,42
suppose,42
wet,42
rabbit,42
anger,42
funny,42
ahead,42
present,42
lamp,41
Dr.,41
tea,41
damn,41
sorry,41
everybody,41
sigh,41
finish,41
beautiful,41
except,41
real,41
ear,41
supper,41
blue,41
free,41
sorrow,40
steal,40
sense,40
short,40
oak,40
brush,40
color,40
control,40
spring,40
joy,40
inside,40
quiet,40
daughter,39
bet,39
plant,39
church,39
taste,39
roll,39
different,39
grass,39
blow,39
ma'am,39
bedroom,39
3,39
climb,39
anybody,38
wild,38
cross,38
breath,38
brown,38
lift,38
living,38
hall,38
Lord,38
stove,38
winter,37
George,37
anyway,37
ago,37
whip,37
feed,37
worry,37
shoot,37
husband,37
accept,37
hour,37
finally,37
tone,36
somebody,36
trust,36
large,36
Valley,36
thin,36
themselves,36
college,36
strike,36
wipe,36
low,36
often,36
sin,36
chinese,36
flower,35
slow,35
meet,35
creep,35
continue,35
lonely,35
demand,35
brain,35
store,34
promise,34
mountain,34
hot,34
hat,34
thirty,34
clever,34
someone,34
joke,34
Louis,34
interest,34
fat,34
left,34
egg,34
nor,34
bean,34
lead,34
ice,34
envelope,34
Cain,33
whore,33
car,33
hole,33
soft,33
silence,33
dinner,33
Olive,33
bill,32
rather,32
reach,32
develop,32
field,32
tight,32
experience,32
Sam,32
hurry,32
scar,32
number,31
knife,31
tongue,31
able,31
knee,31
protect,31
chicken,31
jump,31
tall,30
wine,30
Quinn,30
bright,30
sad,30
funeral,30
