word,count
the,9471
and,7601
to,5662
a,5577
I,5178
of,3929
you,3569
it,3267
was,3171
in,3158
he,3026
his,2693
n't,2531
said,2458
's,2306
her,2140
that,2022
He,1957
do,1660
had,1643
she,1530
on,1418
not,1396
him,1375
with,1367
for,1333
Adam,1287
at,1069
have,1062
The,1009
did,1001
out,979
She,972
You,970
be,953
me,950
is,941
up,936
And,902
were,878
It,857
would,838
know,815
Lee,799
could,791
but,777
as,756
'll,746
from,739
like,734
they,692
about,642
all,625
want,602
Cal,601
what,587
my,574
them,571
one,561
think,555
your,547
there,545
back,539
get,534
so,533
go,520
no,511
or,505
when,499
little,496
good,492
got,476
Samuel,475
down,475
over,470
'm,468
went,465
we,463
man,462
What,462
can,459
this,453
into,449
But,435
if,431
time,431
eyes,426
see,420
Kate,417
then,412
tell,395
came,394
Aron,388
're,387
are,387
an,379
will,376
some,360
by,356
father,356
been,355
No,354
thought,347
That,344
They,343
more,338
their,336
going,333
away,332
looked,330
right,329
house,323
Do,321
put,315
've,315
never,313
any,306
just,306
Well,301
asked,300
way,297
come,296
how,291
too,288
knew,286
There,286
Charles,286
only,285
made,283
very,280
'd,278
Tom,275
now,275
His,274
face,271
here,271
who,266
We,260
make,257
around,254
Joe,253
long,253
two,252
Why,249
take,245
took,242
room,238
than,238
before,236
When,234
Will,231
Maybe,229
something,227
ca,225
In,225
off,224
If,224
thing,223
Yes,221
door,221
himself,221
say,220
Abra,220
Mr.,219
A,219
Her,218
How,215
let,215
things,215
well,212
hand,212
mind,209
might,208
felt,208
money,207
head,205
through,204
much,201
even,199
old,199
people,198
guess,197
men,196
again,196
Faye,196
Cathy,192
told,191
other,190
saw,189
mother,188
night,188
where,187
look,186
why,183
because,182
brother,182
hands,182
turned,182
after,180
always,177
has,177
wanted,176
place,174
its,174
ever,173
under,171
boys,170
new,169
world,166
sat,165
mean,165
first,164
Salinas,164
against,163
kind,161
Then,161
talk,160
Hamilton,160
which,159
heard,159
Now,159
bed,156
feel,156
anything,155
life,153
does,152
home,150
water,150
must,149
until,149
find,148
left,146
remember,145
great,145
while,145
love,141
work,141
should,140
own,139
table,138
set,138
day,137
still,136
our,136
better,135
years,133
girl,132
Trask,131
bad,131
enough,131
maybe,130
kitchen,130
moved,130
walked,129
Oh,129
believe,129
seemed,128
gone,128
pretty,128
Did,127
light,126
big,126
hear,126
us,125
found,125
stood,124
give,124
dark,124
Liza,122
wo,119
toward,118
though,117
voice,116
last,115
slowly,113
boy,113
This,112
keep,112
whole,112
My,112
hard,112
front,111
children,111
without,110
black,110
chair,108
began,108
mouth,108
every,107
tried,106
girls,105
three,105
many,104
open,103
sure,103
brought,103
name,102
few,102
woman,102
white,101
small,100
Dessie,100
opened,99
another,98
live,97
read,97
alone,97
held,96
God,96
wife,95
behind,94
morning,94
called,94
along,94
Just,94
closed,93
looking,93
gave,89
matter,89
business,88
whether,88
true,88
fine,87
nothing,86
letter,86
almost,86
All,86
fingers,86
thinking,86
used,85
close,85
side,85
care,85
afraid,84
help,84
sheriff,83
run,83
course,83
child,83
Is,83
stopped,82
school,81
family,81
trouble,81
hurt,81
Mother,81
understand,81
Ethel,80
words,80
else,80
same,79
town,79
getting,79
ranch,78
Let,78
wonder,78
try,78
At,77
young,77
ask,77
feeling,77
smiled,77
Horace,77
half,77
once,76
year,76
high,75
softly,75
Not,75
glass,75
lips,75
laughed,75
nice,74
lay,74
Cyrus,73
pain,73
