lemma,count
and,20241
the,14221
be,13039
I,12121
he,10184
say,8002
to,7283
that,6174
it,5604
a,5317
in,4546
she,4372
not,3999
of,3618
think,3478
then,3199
have,2960
do,2888
they,2685
Asle,2546
there,2487
go,2291
yes,2047
at,2041
but,2037
so,1735
his,1719
on,1701
can,1618
with,1587
you,1536
see,1449
get,1438
like,1404
just,1336
now,1323
for,1321
up,1213
picture,1212
because,1183
look,1166
my,1126
as,1108
out,1085
one,1033
's,1027
if,1006
'll,969
all,956
or,952
would,902
no,898
down,897
take,877
come,862
good,848
from,848
what,828
Åsleik,819
her,800
we,784
want,783
time,778
into,775
paint,771
back,766
sit,764
when,760
too,747
about,727
need,709
Ales,690
've,675
something,655
little,652
well,637
know,623
stand,618
put,595
painting,587
who,585
this,581
always,580
other,567
over,558
hand,548
way,546
drive,545
even,537
how,523
long,522
house,522
maybe,506
room,503
should,485
never,483
right,479
again,472
could,465
Beyer,463
Bjørgvin,459
live,449
where,445
really,443
walk,433
anything,427
door,427
start,423
thing,416
more,415
God,415
Sister,405
two,402
by,401
make,393
before,392
car,392
Father,389
lie,385
feel,384
people,384
much,379
will,377
ask,360
an,357
some,353
stop,351
day,343
probably,342
light,338
Sigve,337
year,337
home,334
off,331
drink,329
around,325
turn,321
tell,317
almost,315
any,315
why,315
still,314
since,313
buy,306
same,306
away,306
call,300
Mother,299
front,296
give,294
leave,289
snow,288
next,288
hold,285
dog,284
everything,283
old,281
woman,280
after,279
lot,270
many,269
every,265
Christmas,261
move,256
open,255
first,252
each,251
name,249
big,247
keep,247
only,238
here,236
else,234
hear,232
must,231
table,231
their,229
anyway,225
sure,223
kind,223
talk,220
black,219
soon,219
road,217
than,217
sell,215
shake,213
both,213
man,212
Bragi,211
School,210
understand,208
inside,207
nice,206
today,203
brown,203
course,203
find,202
white,201
hair,201
water,200
chair,200
use,198
already,193
myself,190
himself,189
nothing,188
show,187
enough,187
someone,184
glass,184
beer,183
these,182
bad,181
happen,178
thank,176
bed,174
stay,174
Herdis,173
place,173
own,173
another,173
Åsen,172
mother,170
while,167
either,167
cross,165
bag,165
try,164
sleep,164
Guro,164
remember,161
whole,157
word,157
apartment,155
outside,155
hang,155
also,153
those,153
close,151
ever,151
boat,149
let,148
eye,148
might,147
together,147
bring,144
Gallery,144
money,144
Art,143
side,142
your,142
window,141
few,141
without,141
kitchen,141
alone,140
read,139
tired,138
far,138
run,137
very,135
hard,135
dark,135
work,134
actually,134
once,134
bottle,134
life,132
night,131
often,130
Country,130
pick,130
grey,129
fall,129
die,127
behind,127
least,125
head,124
wait,123
write,122
most,122
Namesake,121
believe,120
empty,119
Inn,119
person,118
though,117
last,117
eat,116
hall,115
small,115
totally,114
usually,114
through,114
able,113
coffee,112
boy,112
slowly,112
roll,111
cigarette,110
rent,110
arm,109
floor,109
Man,108
young,108
darkness,108
bus,107
cold,107
three,107
child,106
middle,106
High,106
face,106
exhibition,105
art,105
smoke,104
between,104
tomorrow,103
body,103
Dylgja,102
shoulder,101
meet,101
sometimes,101
school,100
bit,100
straight,100
Liv,100
Hospital,99
Lane,99
stove,99
whatever,98
under,98
wave,98
pull,97
fine,97
line,97
dead,96
against,95
truth,95
become,95
anyone,95
breathe,94
play,94
help,94
Olve,93
Barmen,92
anymore,92
point,92
such,92
sister,92
towards,92
father,91
silence,91
Grandmother,91
single,91
food,90
wrong,90
mean,90
exactly,90
new,90
pay,89
case,89
number,89
lamb,88
book,88
wall,87
until,87
past,87
our,86
true,86
shine,85
suitcase,85
Baker,85
morning,84
great,84
silent,83
wine,82
sign,82
coat,82
cover,81
carry,81
Boat,81
Academic,81
spend,80
pretty,80
rest,80
finish,80
main,80
oil,80
ground,79
different,79
early,79
realize,78
laugh,78
foot,77
notice,77
colour,77
suddenly,77
manage,77
living,76
onto,76
strange,76
its,76
canvas,75
St,75
along,74
nod,74
sea,74
friend,74
parent,74
thought,74
sort,74
Stranda,73
cry,73
Judit,73
Store,73
attic,72
blanket,72
answer,72
end,72
raise,72
easy,71
beautiful,71
shut,70
bench,70
blue,69
drop,69
Siv,68
reason,68
easel,68
swing,68
