word,count
and,20021
the,11732
I,11148
he,8826
to,7271
that,6085
's,5918
says,5698
it,5450
a,5283
in,4533
she,3860
of,3607
then,3194
n't,3014
Asle,2546
The,2509
there,2460
think,2214
is,2054
at,2036
was,2030
they,1892
but,1858
his,1714
on,1690
so,1678
with,1584
yes,1563
say,1552
have,1327
just,1319
for,1318
him,1315
now,1303
her,1296
do,1280
like,1269
be,1259
you,1247
go,1223
up,1208
because,1158
my,1113
can,1107
as,1102
out,1082
if,994
not,974
'll,969
me,965
see,963
all,949
one,943
thinks,941
or,936
get,915
down,897
from,843
Åsleik,819
what,801
them,794
into,775
back,752
when,749
too,747
are,744
no,735
'd,727
about,726
Ales,723
has,702
good,695
does,691
had,688
've,675
something,652
little,644
pictures,624
said,623
'm,608
we,598
time,590
picture,584
always,580
who,574
this,572
look,560
over,558
did,556
other,534
even,533
way,524
how,517
ca,498
maybe,491
long,489
Yes,489
house,486
room,484
been,482
never,481
should,480
again,472
right,471
Beyer,468
could,464
Bjørgvin,459
want,446
really,441
well,438
're,437
where,437
Sister,430
anything,427
take,425
need,423
know,420
door,419
God,417
more,414
come,412
paint,412
going,411
by,401
two,401
before,391
Father,389
people,383
sitting,382
much,379
hand,378
put,373
car,371
would,366
painting,365
Sigve,356
an,356
some,352
goes,350
probably,341
paintings,341
were,332
off,331
home,326
around,324
Mother,323
looks,322
any,315
still,313
almost,312
since,308
away,307
why,307
same,305
front,296
drive,295
light,290
standing,288
next,287
everything,285
after,278
many,268
dog,267
day,266
every,263
Christmas,261
woman,257
first,251
each,251
will,250
old,245
takes,243
only,238
sit,237
else,234
here,231
comes,231
must,230
got,230
You,229
their,228
thing,225
snow,225
thought,225
table,221
And,220
sure,219
black,218
anyway,218
looking,217
needs,217
than,217
painted,215
both,213
Bragi,211
School,211
big,211
lying,209
inside,207
puts,206
gets,206
today,203
course,202
white,200
soon,200
hair,200
kind,199
brown,199
stand,199
water,198
sees,197
make,195
already,193
nice,193
things,191
road,190
myself,190
start,190
done,188
times,188
himself,188
lot,188
feel,188
enough,187
nothing,184
man,181
stop,181
wants,181
years,181
these,180
someone,179
But,179
live,178
chair,178
beer,178
walk,175
drink,174
Herdis,173
bed,172
Åsen,172
another,172
name,169
understand,168
tell,167
either,167
turn,166
while,165
keep,165
Guro,164
asks,164
buy,163
gone,163
No,163
hands,162
glass,160
best,160
whole,157
year,157
It,154
outside,154
own,153
also,153
apartment,152
left,152
those,151
wanted,151
ever,151
might,147
Art,147
together,147
place,146
mother,146
call,146
walking,145
Gallery,144
driving,144
money,144
kitchen,141
went,141
better,141
without,140
alone,140
cross,140
saying,139
us,139
feels,139
tired,138
open,138
eyes,137
thinking,137
living,136
bad,136
few,135
very,135
once,133
used,133
actually,132
side,132
Country,130
doing,130
often,130
behind,127
night,126
least,125
your,124
wo,124
grey,124
lived,124
seen,123
give,123
dark,122
most,122
Inn,122
Namesake,122
ask,122
remember,122
life,122
hear,122
shaking,120
person,118
stands,118
talk,117
though,117
hard,115
hall,115
usually,115
stay,114
totally,114
show,114
able,113
bought,113
called,113
through,113
empty,113
sell,112
head,112
saw,112
sleep,112
slowly,112
coffee,111
told,109
floor,109
bag,109
knows,109
being,109
Man,108
came,108
starts,108
darkness,107
far,107
window,107
believe,106
middle,106
High,106
cold,106
getting,106
bus,105
Liv,105
boat,104
coming,104
Dylgja,104
between,104
let,104
leave,103
three,103
holding,103
body,102
took,102
tomorrow,102
opens,102
Hospital,101
last,101
holds,100
art,100
straight,100
sits,99
Lane,99
sometimes,99
stove,99
whatever,98
read,98
under,98
started,98
found,98
bit,98
young,98
words,97
lives,97
school,97
dead,96
against,95
Grandmother,95
thank,95
truth,95
anyone,95
fine,95
move,94
Olve,93
turns,92
drinking,92
Barmen,92
towards,92
bottle,92
such,92
anymore,92
father,91
silence,91
single,91
exactly,90
stops,90
lie,90
wrong,90
small,89
died,89
That,89
case,89
waves,89
cigarette,89
find,88
food,88
lamb,88
makes,88
ones,87
past,87
made,86
until,86
new,86
hanging,86
Baker,85
close,84
exhibition,84
shoulder,83
true,83
silent,83
suitcase,83
wine,82
Boat,81
morning,81
Academic,81
coat,80
lots,80
main,80
oil,80
different,79
bring,78
suddenly,77
Siv,77
try,77
ground,77
number,77
its,76
walks,76
onto,76
days,76
pretty,76
am,75
moved,75
lines,75
St,75
boy,74
Store,74
along,74
face,74
parents,74
Judit,73
sea,73
happened,73
strange,73
Stranda,73
great,73
attic,72
stopped,71
pick,71
hold,71
eat,70
beautiful,70
sort,70
married,70
having,70
canvas,70
wall,69
sign,69
blue,68
rest,68
taken,68
less,68
bench,67
easel,67
sold,67
moving,66
breathe,66
world,66
Bald,66
Street,66
reason,66
shakes,65
real,65
wait,64
Church,64
taxi,64
happy,64
sofa,64
our,64
finished,63
Eve,63
needed,63
ahead,63
liked,63
children,62
jacket,62
sister,62
talking,62
lies,62
somewhere,61
asked,61
Alehouse,61
country,61
spot,61
shoulderbag,61
set,61
everyone,61
matter,61
work,60
word,60
help,60
ago,60
leather,59
likes,59
mouth,59
looked,59
playground,59
Gunvor,59
shining,59
seeing,58
drinks,58
Bus,58
gives,58
space,57
colours,57
ribs,57
Landlady,57
leaves,57
swing,57
So,57
Coffeehouse,57
met,56
drunk,56
knew,56
feet,56
several,56
shopping,56
arms,56
definitely,56
bags,56
op,56
hears,56
length,56
Co,56
given,55
half,55
thanks,54
named,54
become,54
couple,54
especially,54
books,54
answer,54
whether,54
yesterday,54
Pedersen,53
bread,53
which,53
clothes,53
waiting,53
friend,53
use,53
arm,53
drove,53
top,53
Christ,53
Hotel,53
part,53
medium,52
end,52
warm,52
easy,52
finally,52
rolls,52
paper,52
Gudleiv,52
later,52
care,52
mass,52
scared,52
play,51
Yeah,51
herself,51
felt,50
dress,50
phone,50
pay,50
pray,50
velvet,50
raises,50
rather,50
University,50
early,49
blanket,49
turned,49
Eiliv,49
Doctor,49
street,49
nods,49
rid,48
neither,48
realize,48
voice,48
building,48
cut,48
Beach,48
kingdom,48
Youth,48
itself,48
fact,47
crying,47
We,47
Sygne,47
quite,47
et,47
roll,47
Aga,47
peace,47
happen,46
heard,46
four,46
girl,46
snowing,46
death,46
point,46
Dock,46
bacon,46
Handyman,46
yet,46
sat,46
run,45
decided,45
boats,45
Driver,45
clearly,45
carefully,45
near,45
shut,45
mind,45
cake,45
rent,45
moment,44
Centre,44
bedroom,44
corner,44
rented,44
child,44
gallery,44
carry,44
wrote,44
farm,44
Rowboat,44
forward,44
asleep,43
Sea,43
round,43
across,43
spend,43
driven,43
possible,43
hungry,43
tractor,43
obviously,43
impossible,42
clear,42
meet,42
supposed,42
Paul,42
stairs,42
full,42
forth,42
free,42
fall,42
bottles,42
wood,41
kept,41
Cross,41
Jesus,41
tight,41
drop,41
high,41
smoke,41
path,41
Clinic,40
running,40
barely,40
thoughts,40
He,40
Andrew,40
air,40
hill,40
walked,40
happens,39
step,39
tonight,39
Boy,39
covered,39
plate,39
points,39
somehow,39
milk,39
Fjord,39
stupid,39
entirely,39
desk,39
portrait,39
pull,39
brought,39
wheel,39
lets,39
short,39
sky,38
important,38
sense,38
box,38
Hardanger,38
calls,38
artist,38
seat,37
closer,37
mean,37
church,37
picks,37
loud,37
reading,37
guitar,37
taking,37
hang,37
certainly,37
pulls,37
Olav,36
shoes,36
leg,36
playing,36
Terje,36
landmark,36
means,36
invisible,36
houses,36
Alida,36
Per,36
Well,36
gave,36
noise,36
Boathouse,36
tubes,36
thumb,36
hardly,35
blonde,35
aside,35
written,35
managed,35
quiet,35
windshield,35
human,35
idea,35
finger,35
painter,34
remembers,34
tried,34
farther,34
rosary,34
north,34
sip,34
A,34
windows,34
Brochmann,34
present,34
runs,33
lift,33
Caf'e9,33
Taxi,33
Wife,33
earth,33
older,33
sound,33
prayer,33
cries,33
laugh,33
visit,33
notice,33
book,33
d8ygna,33
Tor,33
dry,33
trying,32
celebrate,32
love,32
Times,32
laughs,32
Catholic,32
others,32
ready,32
themselves,32
taste,32
smoking,32
during,32
noticed,32
keeps,31
unbelievable,31
exist,31
manage,31
calm,31
stayed,31
instead,31
born,31
Old,31
allowed,31
deeply,31
men,31
wearing,31
alive,31
meaning,31
heavy,31
stack,31
pieces,31
second,31
guy,30
usual,30
Alise,30
Bakery,30
practically,30
seems,30
above,30
Norway,30
drawing,30
dinner,30
fish,30
five,30
falling,30
stronger,30
lodged,30
band,30
leaning,30
cup,30
Grandma,30
carrying,29
son,29
pan,29
tie,29
board,29
working,29
smoked,29
driveway,29
lap,29
lucky,29
wedding,29
plus,29
talked,29
disappear,29
reception,29
shake,29
bigger,29
evil,29
longer,29
shows,29
Sailor,28
B'e5rd,28
late,28
weather,28
