lemma,count
the,14953
of,8144
and,7215
a,6461
be,6116
he,5839
to,4958
in,4947
I,3937
his,3330
that,2819
it,2519
with,2515
’s,2115
on,2114
you,2094
say,1994
for,1938
have,1888
she,1767
not,1760
they,1747
do,1449
all,1321
at,1289
by,1259
her,1234
as,1187
from,1088
what,980
or,958
out,899
my,838
up,829
there,819
like,780
one,755
go,744
their,720
we,719
Mr,717
see,703
but,697
no,681
Bloom,677
an,656
come,648
so,616
man,593
then,579
’,565
when,554
know,550
if,544
about,534
who,519
which,518
get,499
your,498
hand,491
would,483
Stephen,481
old,470
look,463
eye,460
time,453
down,448
this,446
make,445
over,443
too,442
now,441
after,428
good,420
well,419
take,417
will,410
two,393
give,391
could,389
other,382
back,371
off,370
tell,363
yes,359
where,337
day,333
o,331
into,330
woman,325
those,316
some,315
thing,308
can,301
street,299
its,299
more,299
think,297
way,297
here,296
our,291
little,285
how,285
BLOOM,279
turn,275
ask,274
face,272
first,267
want,264
hear,263
call,261
name,258
only,252
never,252
put,252
long,250
just,249
through,248
right,247
head,247
round,246
again,245
night,239
God,229
let,227
word,227
very,226
must,225
under,224
himself,221
because,219
before,218
’ll,217
love,216
walk,213
life,212
pass,209
sir,207
year,201
wait,199
young,199
voice,198
still,195
why,192
hat,192
any,191
feel,191
stand,190
John,188
house,188
last,187
J.,186
place,184
poor,182
might,182
hold,180
something,179
away,179
leave,177
always,174
three,173
though,173
course,172
Dedalus,172
father,171
fellow,171
than,169
same,168
Mrs,164
much,164
bring,162
ever,161
own,161
white,160
Mulligan,160
foot,159
light,159
write,159
world,156
bit,156
water,155
cry,153
read,153
’m,152
door,147
open,146
behind,146
new,145
wife,145
point,144
bear,144
s,144
fall,143
laugh,143
girl,142
every,141
great,140
speak,140
run,140
black,140
high,140
smile,139
most,139
sit,137
without,137
Joe,136
near,136
mean,134
till,134
heart,134
find,134
between,133
Father,133
dark,133
answer,133
bad,132
suppose,132
show,131
mother,131
boy,131
upon,131
while,131
arm,131
side,131
such,130
big,129
against,128
once,127
hair,127
another,127
mouth,126
even,125
half,125
air,123
Dublin,122
morning,121
try,121
dead,120
towards,120
letter,120
use,119
gentleman,119
far,119
watch,119
son,118
home,118
keep,118
live,117
S.,117
along,116
child,116
rise,116
kind,116
die,116
talk,115
bed,115
follow,113
draw,113
’re,112
paper,111
lady,110
play,110
wonder,110
end,108
lie,107
drink,107
d,106
Martin,106
meet,106
finger,106
bloody,106
both,105
sea,105
full,105
remember,104
money,104
pocket,103
eat,102
Buck,102
lose,102
nothing,101
these,101
Lenehan,100
work,99
sure,99
friend,99
past,99
book,99
red,99
mind,98
stop,98
land,98
lip,97
second,97
four,96
corner,96
citizen,96
each,96
forget,95
moment,95
begin,94
case,94
window,94
lay,93
soul,93
sing,93
five,92
death,92
wear,91
pay,91
irish,91
form,89
thank,89
ear,89
Ireland,89
part,89
STEPHEN,89
believe,89
body,89
anything,88
change,87
hour,87
also,87
ah,86
sweet,85
quite,85
table,85
touch,85
kiss,85
step,85
stick,85
blue,84
gold,84
green,84
should,84
lift,83
throw,82
’d,82
low,82
yet,82
ten,82
perhaps,81
nice,81
Miss,81
send,81
horse,80
line,80
many,80
sun,79
fine,78
move,78
Lord,78
Dignam,77
rest,77
lovely,77
dear,77
break,77
hang,76
lord,76
dress,76
few,76
hope,76
dog,75
brother,75
Cunningham,75
having,75
Henry,75
may,75
smell,74
gaze,74
seem,74
matter,74
music,74
wind,73
today,73
forward,73
tea,72
Leopold,72
set,71
Conmee,71
sleep,71
myself,71
slowly,71
enough,70
tear,70
de,69
order,69
boot,69
left,69
shoulder,69
nature,69
nose,69
number,69
ought,68
chap,68
Ben,68
rock,68
next,68
shall,67
buy,67
private,67
Ned,67
earth,67
shilling,67
close,67
miss,67
glass,67
listen,67
present,67
people,67
idea,66
fact,66
return,66
flower,66
figure,65
evening,65
true,65
grey,65
raise,65
Molly,65
hard,65
professor,64
stone,64
across,64
glance,64
Boylan,64
catch,63
large,63
shake,63
age,63
cold,63
leg,63
king,62
soft,62
Gerty,62
bend,62
room,62
Power,61
free,61
C.,61
daughter,61
1,61
pray,61
breath,61
rather,60
fire,60
wall,60
person,60
damn,60
whole,60
human,59
